family_key,gain_regime,kp_target,ki_target,initial_dump_power_kw,load_step_kw,scenarios,mechanical_levels,disturbance_times,windows
D20_L-20,G1,2.16,5.720000000000001,20.0,-20.0,10,5,2,1600
D30_L-20,G1,2.16,5.720000000000001,30.0,-20.0,10,5,2,1600
D40_L+20,G1,2.16,5.720000000000001,40.0,20.0,10,5,2,1600
D40_L-20,G1,2.16,5.720000000000001,40.0,-20.0,10,5,2,1600
D20_L+10,G2,2.88,3.0368,20.0,10.0,10,5,2,1600
D20_L-10,G2,2.88,3.0368,20.0,-10.0,10,5,2,1600
D30_L+10,G2,2.88,3.0368,30.0,10.0,10,5,2,1600
D30_L-10,G2,2.88,3.0368,30.0,-10.0,10,5,2,1600
D40_L+10,G2,2.88,3.0368,40.0,10.0,10,5,2,1600
D40_L-10,G2,2.88,3.0368,40.0,-10.0,10,5,2,1600
D30_L+20,G3,3.36,14.144,30.0,20.0,10,5,2,1600
